id,title,album,artist,genre,country,released,duration,released-timestamp,duration-float
702481615,Armatage Shanks,Dookie: The Ultimate Critical Review,Green Day,Rock,Europe,2005,,1104527600,
888221515,Old Folks,Six Classic Albums Plus Bonus Tracks,Harold Land,Jazz,Europe,2012,6:26,1256998400,6.26
1282412601,คำขอร้อง,สำเนียงคนจันทร์ / เอาเถอะถ้าเห็นเขาดีกว่า,อิทธิพล บำรุงกุล,"Folk, World, & Country",Thailand,,,,
190889200,Track 1,Summer Breeze,Dreas,Funk / Soul,US,2008,18:56,1199145600,18.56
812645611,Slave (Alternative Version),Honky Château,Elton John,Rock,Europe,,2:52,,2.5200000000000002
294018506,Sex & Geld,Trackz Für Den Index,Mafia Clikk,Hip Hop,Germany,2006,5:02,1126072600,5.02
1522481802,Pisciaunella,Don Pepp U Pacce,Giovanni Russo (2),"Folk, World, & Country",Italy,1980,,215522800,
862296712,不知,Kiss 2001 Hong Kong Live Concert,Various,Electronic,Hong Kong,2002-04-12,,1018656000,
467946422,Rot,Be Quick Or Be Dead Vol. 2,Various,Electronic,Serbia,2012-06-20,1:00,1271686400,1
1222854802,"Simulation Project 1, ツキハナ「Moonflower」",Unlimited Dream Company,Amun Dragoon,Electronic,US,2018-04-10,2:44,1522218400,2.44
225115704,Doctor Vine,The Big F,The Big F,Rock,US,1989,5:29,599616000,5.29
249025222,"Ringel, Ringel, Reihe",Kinderlieder ABC - Der Bielefelder Kinderchor Singt 42 Lieder Von A-Z,Der Bielefelder Kinderchor,Children's,Germany,1971,,21526000,
710094000,Happy Safari = Safari Feliz,Safari Swings Again = El Safari Sigue En Su Swing,Bert Kaempfert & His Orchestra,Jazz,Argentina,1977,2:45,220924800,2.45
528622700,Take Me Up,Spring,Various,Electronic,US,2000,2:06,946684800,2.06
1556505508,Doin To Me ( Radio Version ),Say My Name,Netta Dogg,Hip Hop,US,2005,,1104527600,
1067021900,Concerto For Balloon & Orchestra / Concerto For Synthesizer & Orchestra,Concerto For Balloon & Orchestra And Three Overtures,Stanyan String & Wind Ensemble,Classical,US,1977,,220924800,
127251914,"I Love The Nightlife (Disco 'Round) (Real Rapino 7"" Mix)",The Adventures Of Priscilla: Queen Of The Desert - Original Motion Picture Soundtrack,Various,Stage & Screen,US,1994,2:21,757282400,2.21
554982904,Walking On The Moon,Certifiable (Live In Buenos Aires),The Police,Rock,Malaysia,2008-11-00,,1225497600,
557616002,Two Soldiers,Jerry Garcia / David Grisman,David Grisman,"Folk, World, & Country",US,2014-04-00,4:24,1296210400,4.24
878926809,When You Gonna Learn,Live At Firenze 92,Jamiroquai,Funk / Soul,France,2004,12:01,1072915200,12.01
268960707,Sardo D.O.C.,Sardinia Pride Compilation Vol.2,Various,Hip Hop,Italy,2012-06-22,4:41,1240222200,4.41
1416041212,Sympathy For The Devil,Under Cover,Ozzy Osbourne,Rock,Russia,2005,7:11,1104527600,7.11
1260509200,Grosse Overturen,noxious effects garanty,Nocif (2),Rock,France,1990,,621152000,
1466281224,Πρινιώτης,Μουσικά Πατήματα Της Κρήτης,Αντώνης Μαρτσάκης,"Folk, World, & Country",Greece,2019,,1546200800,
256009724,Here I Stand And Face The Rain (Demo),Hunting High And Low,a-ha,Electronic,UK & Europe,2010-07-22,,1279842200,
565252008,Born Free,At His Best Goldfinger,The Royal Philharmonic Orchestra,Blues,Japan,1976,,189202400,
492519701,Others,Where Did She Go,Stephan Sulke,Rock,US,1965,2:42,-157766400,2.42
1268208902,Electric Fires,All That Divides,Black Peaks,Rock,UK,2018-10-05,2:22,1528697600,2.22
1077074411,Your Summer Dream,Surfer Girl,The Beach Boys,Pop,Australia,2012-09-24,,1248444800,
1275072979,Untitled,Die Legenden Der Albae: Tobender Sturm,Johannes Steck,Non-Music,Germany,2014,6:49,1288524400,6.49
826446602,Salvaje,Introglicerina,Seguridad Social,Rock,France,1990,,621152000,
180155008,Man,Bajzel,Bajzel,Rock,Poland,2007,2:27,1167609600,2.27
949980604,Ebb Tide,21Channel Sound,David Rose & His Orchestra,Pop,US,1962,,-252460800,
1241480200,Things,Things / Is There A Missing Piece,Donny Mann,Funk / Soul,Canada,1972,2:15,94694400,2.15
28028907,Waving My Arms In The Air,Barrett,Syd Barrett,Rock,UK & Europe,2004,2:07,1072915200,2.07
259975218,The Hand,The Lost Patrol. Virginia City,Max Steiner,Stage & Screen,Europe,1995,2:29,788918400,2.29
810688602,We Don't Need Another Hero,Split Tape,Rottingrex,Rock,France,2014,,1288524400,
1225622907,Our Place In The Sun,Unity Drum,Dissident (2),Rock,US,2018-07-12,,1521440000,
406467204,Riders On The Storm (Album Edit),U.S. Dance Party - Vol. 4,Various,Electronic,US,1995,6:25,788918400,6.25
158441000,Take Time To Know Her,Take Time To Know Her,Ninjaman,Reggae,US,1988,,567992600,
992096712,Suddenly,Midnight Soul,Various,Funk / Soul,US,1997,2:51,852076800,2.51
244054502,Straight From My Heart,Huang Chung,Wang Chung,Electronic,Italy,1982,2:48,278691200,2.48
894880217,Черное Знамя (Live In Paris),Ва-Банкъ MP2,Ва-Банкъ,Rock,Russia,2005,2:48,1104527600,2.48
767521501,L'Inganno,Eclissi,A Piedi Nudi,Rock,Russia,2006,4:56,1126072600,4.5600000000000005
785246800,Got It Covered,Songs Of The Next Great Depression,Barry Melton,"Folk, World, & Country",Germany,1991,2:41,662688000,2.41
499471800,Collateral,Collateral,Mickmag & Justbob,Electronic,Netherlands,2012-09-16,5:29,1279289600,5.29
1251220502,Can't Wait,Rosebud e​.​p.,Poncho+Casino Tart,Funk / Soul,Japan,2016-10-09,2:24,1475971200,2.24
260552204,Сюита В Фа-Миноре,Своя Игра,Арсенал,Rock,Russia,2007,,1167609600,
1222242909,Had It All,Sunday Morning Record,The Band Of Heathens,"Folk, World, & Country",,2012-09-17,4:22,1279276000,4.22
1254489900,"Hollywood Bowl, Los Angeles, CA, U.S.A. August 22, 1964",The Lost Hollywood Bowl Films,The Beatles,Non-Music,Japan,2018,,1514764800,
1584961721,Man In My Life,Fear Of Flying,Mya,Pop,,,,,
1190621208,Little Bit Of Nothing,All By Myself,Kevin Klimek,Rock,US,,2:57,,2.57
1254207002,Big Jim Salter,Niagara,Stone The Crows,Rock,Luxembourg,1990,15:41,621152000,15.41
1178647108,Riprendiamoci La Vita,Irreale Realtà,Kina (4),Rock,Italy,2018,,1514764800,
762725104,La Paloma,Party-Time,The Happy Sound Singers,Pop,Germany,1974,2:12,126220400,2.12
402227720,Tu Barayem Moqadasi,Volumes 2 & 2: The King Of 70's Afghan Pop!,Ahmad Zahir,"Folk, World, & Country",Spain,2012,7:22,1225276000,7.22
252928200,Les Eléments,Les Eléments / Sonate Pour Violon / Suite No.2 / Sonate En Ré Mineur (Extraits),André Jouve,Classical,France,1974,,126220400,
672676501,Come Back To The West Indies,We Calypso,Wild Fire,Reggae,Trinidad & Tobago,1976,2:10,189202400,2.1
1151867006,A Fine Romance,Interchanges '54,Dave Brubeck,Jazz,US,1991,2:49,662688000,2.49
625510418,Untitled Excert,Games For May,Pink Floyd,Rock,US,1999,,915148800,
502485601,What Makes A Man,Larcange Plays Aznavour,Maurice Larcange,Pop,Italy,1975,4:20,157766400,4.2
522228202,Ritmo Callejero (Calagad 12 Rmx),Super Spanish Combo Remixed,Super Spanish Combo,Funk / Soul,Spain,2012-06-16,,1271240800,
122408607,Magic In You,This Is Mellow II,Various,Electronic,Netherlands,1994,6:11,757282400,6.11
885869000,Foi Daquele Jeito,Nem Te Conto,Lucas Lucco,"Folk, World, & Country",Brazil,2012-12-17,2:05,1287228400,2.05
407269201,Gotta Run Home,Hollywood Underground,The Impulse Int'l,Rock,Finland,2008,,1199145600,
585206612,Overture To Fiddler On The Roof:,All-Star Piano Magic,Various,Pop,US,1980,,215522800,
65650222,Traumtänzer,Nachtschwärmer 5,Various,Rock,Germany,2002,,1009842200,
1257484006,I'm So Happy Here Without You,Mothernight,Make Like a Tree,"Folk, World, & Country",Ukraine,2019-02-21,5:24,1552126400,5.24
208827701,Der Totmacher,Der Totmacher,Postmortem,Rock,Germany,1996,,820454400,
1227956805,Mi Último Adiós,Corazón Prsionero,Duo Bowen-Villafuerte,Latin,Colombia,,,,
889478104,Tonto Malembe,Ortiga,Ortiga,"Folk, World, & Country",Mexico,1980,2:24,215522800,2.24
1200422104,How Can I Tell Her,As 14 Mais Da Difusora - Vol. II,Various,Pop,Brazil,1974,4:14,126220400,4.14
450282202,Untitled (Mix 2),Untitled,Unknown Artist,Electronic,,,,,
248910107,Circlings,Beyond Words,Bobby McFerrin,Pop,US,2002,1:12,1009842200,1.12
1568894000,Dream Baby,Dream Baby,Blue Janes Trio,Rock,US,,,,
1572980202,I Don't Believe In If Anymore,New World In The Morning,Roger Whittaker,"Folk, World, & Country",Netherlands,,,,
224961705,Evening (Artur Grek & Tim F.Resh Remix),StruCTS 4,Various,Electronic,,2011-11-25,7:22,1222179200,7.22
542969802,On Springfield Mountain,Songs Of The American Land,Salli Terri,"Folk, World, & Country",US,,,,
796005909,You Can Do It (Dapper Dan),Jazz Jazz Jazz You Can Do It,Nilo Toledo,Funk / Soul,US,,,,
265499809,Elegy,Stormwatch,Jethro Tull,Rock,Japan,1979,2:20,282996800,2.2
1267907200,Intro,When Worlds Collide,The Monstrosities (2),Rock,Austria,2018-07-09,01:24,1521094400,1.24
125219925,Fifth Chorus,Enclosure Five,Harry Partch,Classical,US,1998,2:10,882612800,2.1
419960720,Hiroshima,Le Métèque…,Georges Moustaki,Pop,France,,2:40,,2.4
1464778512,Deux,Positronic Collective (Unmixed),Various,Electronic,US,2015-08-02,6:48,1428560000,6.48
1228024506,Sometimes I Love You,The Kids & Me,Billy Preston,Funk / Soul,Japan,1979,2:14,282996800,2.14
148616601,Baby Baby Baby (Pitou Remix),Baby Baby Baby - The Remix EP,Bella (5),Electronic,US,2008-07-00,5:25,1214870400,5.25
1065721800,Maybe In Love Again,Maybe In Love Again,George Baker Selection,Pop,Germany,1979,2:24,282996800,2.24
422578202,Spirit Crusher,The Sound Of Perseverance,Death (2),Rock,Russia,1998,,882612800,
548928202,Renaissance - Medieval,Art Gallery,Peter White,Stage & Screen,UK,1992,,694224000,
77098404,The Shadow Of Your Smile,Vulnerable,Marvin Gaye,Funk / Soul,Europe,1997,2:08,852076800,2.08
1582690209,Lover Boy/Lover Girl,Farstucker,Lords Of Acid,Rock,Belgium,,2:21,,2.21
1121625206,ハートのイアリング,Snow Garden,Seiko Matsuda,Pop,Japan,1987-11-21,,564451200,
542047802,Eye Level,The Best Of Tv Themes Boogie Style Plus The Entertainer,The Boogie Boys (6),Stage & Screen,UK,1974,,126220400,
282209022,Voodoo Eyes,The Glam Singles Collection,Hello,Pop,UK,,,,
1612222616,Psaume 142,remplis-moi de ta presence,Stéphane Quéry,"Folk, World, & Country",Canada,,,,
112455602,I Got You (I Feel Good),Soul Fountain,Clifford Jordan,Jazz,US,1970,,0,
600222002,Agam,Agam,Rishi Ranjan,"Folk, World, & Country",UK,2012-06-12,8:40,1271081600,8.4
502244604,Walk On By,Guitar Boogie,Arthur Smith (2),"Folk, World, & Country",Italy,1972-10-00,,118281600,
906281711,Blues For Nelly,Slow Apres Minuit,Aldo Ferreri Son Sax Et Son Orchestre,"Folk, World, & Country",France,,2:45,,2.45
1189250626,Angie,Forty Licks,The Rolling Stones,Pop,US,2002,,1009842200,
719809802,Echo Mia Dekara Tripia,Griechenland = Grèce,Various,"Folk, World, & Country",Switzerland,,,,
296811408,This Is My Life,Mr. Jones,Tom Jones,Pop,Europe,2002,2:20,1009842200,2.2
1246251504,Have A Good Time,Greetings From Skamania,The Skatalites,Reggae,US,2019-04-12,2:55,1555112600,2.55
209482507,That's The Way Love Is,Ace DJ Remix Service Volume 9,Various,Electronic,Australia,1996,7:22,820454400,7.22
705298210,Joninės,Tau,Genovaitė Švabienė,Pop,Lithuania,1999,,915148800,
662896200,We're Dancin' (Radio Edit),We're Dancin',BeBe (9),Electronic,Germany,1995,2:26,788918400,2.26
229294407,Only The Good Die Young,Seventh Son Of A Seventh Son,Iron Maiden,Rock,Europe,1988,,567992600,
541586209,Lightnin' Bug,Don't Mess With The Blues,Various,Blues,Europe,1994,,757282400,
527612207,Hunter And The Hunted,New Gold Dream (81-82-82-84),Simple Minds,Pop,Poland,1991,5:55,662688000,5.55
1062228502,More Than You Know,Some Of My Best Friends Are...Singers,Ray Brown Trio,Jazz,US,1998,5:20,882612800,5.2
241197909,Come Around,Activity Center,Tahiti 80,Pop,France,2008,,1199145600,
1520826608,Nardwuar Glocc,Waterdamage,Ouija Macc,Hip Hop,US,2019-10-21,2:29,1572480000,2.29
422968801,Das Jahr Schnee,Feuer Wasser & Posaunen,Herbst In Peking,Rock,Germany,1997,4:52,852076800,4.52
524624702,Dywizjon Huzarów Śmierci,W Nas Stali Hart,White Devils,Rock,Poland,2012,,1256998400,
1279952100,Wither,The Fear Unknown,Cryptic Rising,Rock,US,2019-02-01,2:52,1548979200,2.5200000000000002
482069229,極楽とんぼの詩,Original 都 Style From Kyoto Dub Plate Mix #1,アシュラ式,Reggae,Japan,2007,02:52,1167609600,2.52
297744008,Blood,Introduce Yourself,Faith No More,Rock,Canada,1987,2:29,526457600,2.29
1512522808,"Oh, Lord! Reprise",The End Cometh Legacy Edition,Hot Lava Monster,Rock,US,2020-01-01,2:02,1577826800,2.02
529925402,If I Can't Make You Smile,Tymes Up,The Tymes,Funk / Soul,Spain,1976,2:54,189202400,2.54
120926201,I Wanna Make Love 2U,Micmac Future Dance Classics,Various,Electronic,US,,,,
662770202,The Saxophonist (Original Mix),Ibiza World Club Tour - CD Series Vol. 2,Various,Electronic,Germany,2010-12-00,,1291161600,
216579202,Nub,Section EP,Murmur,Electronic,UK,2006,,1126072600,
967218121,Стреляйте Сами,15 Лет - Крепкие Зубы И Острые Когти,Тараканы!,Rock,Russia,2007,,1167609600,
268228005,Na Hi Es,Back To Beginning,Cochise (14),Rock,Poland,2012-05-14,5:16,1226952600,5.16
819222608,Coffee Chords,Madagascar,Sylvin Marc,"Folk, World, & Country",UK,2002,6:21,1041279200,6.21
779552206,Justice,O Lucky Man! - The Original Soundtrack,Alan Price,Stage & Screen,France,1972,,94694400,
1228582701,Sur La Trace Des Fées,Emile Jacotey,Ange (4),Rock,France,,4:48,,4.48
715120206,Vs-Perplexx 8tel RR,Rapsparring-Audiopaket,Petschino,Hip Hop,Germany,2014-09-08,4:24,1410124400,4.24
991002421,"Christum Wir Sollen Loben Schon, BWV 611",Deutsche Barock Weihnacht = Un Noël Baroque Allemand = German Baroque Christmas,Bernard Foccroulle,Classical,Belgium,2006,2:04,1126072600,2.04
682686801,"Quid Petits, O Fili?",A Gentill Thesu,Edgar Fleet,Classical,UK,1985,7:45,472285600,7.45
699967906,Silent Prayer,Inner Child,Shanice,Hip Hop,Brazil,1992,5:02,694224000,5.02
619069421,You're The One (Matt Hewie Airplay),Bodywork (22 Hit-Tracks To Pump Your Body),Various,Electronic,Sweden,2010,,1262204000,
272118509,Pyramids,channel ORANGE,Frank Ocean,Pop,Europe,2012-07-20,9:52,1242742400,9.52
182121007,Captain Coconut,Crash Landing,Jimi Hendrix,Rock,US,1975-00-00,4:06,157766400,4.06
867274400,"You're My Heart, You're My Soul	5:26",The 1st Album,Modern Talking,Pop,Malaysia,1985,,472285600,
517268402,Blood Sweat & Circle Pits,Beginning New (Fall 2012 Demo),Desiring Dead Flesh,Rock,US,2012,1:08,1256998400,1.08
1179904209,Something's Gotta Give,"""...My Huckleberry Friend"" - Johnny Mercer Sings The Songs Of Johnny Mercer",Johnny Mercer,Pop,US,,,,
1476604402,Kbala,سطوب بركة   Stop Baraka,Darga Ouled Cha2b Sound System,"Folk, World, & Country",Morocco,2008,,1199145600,
722758715,The Coma Machine,Rock Tribune 147,Various,Rock,Belgium,2015-07-00,,1425708800,
60949509,Deep Into The Vibe (Deep Into The Vibe Keys Mix),Global Groove: Clubland - Razor,Various,Electronic,US,2002,6:06,1009842200,6.06
1607482810,Love Gone Cold,Gasoline,The Hard Lessons,Rock,US,,4:15,,4.15
180277215,The Clapping Song,Disco Beach Party (All Your Favourite Sunshine Hits),Various,Pop,UK,1985,,472285600,
1556149409,52nd Street Theme,1949-1950,Bud Powell,Jazz,France,2001,2:50,978207200,2.5
1257860405,Bratislava Part 1,Jaromírova. The Prague Session.,Die Stadt,Electronic,Spain,2018,,1514764800,
575095402,Zwischenspiel,Alle Jahre Wieder - Die Schönsten Weihnachtslieder,Unknown Artist,Classical,,,0:25,,0.25
1459500715,下一站天后,男人心女人泪,Various,Pop,China,2002,,1041279200,
1561028800,Airtight Angels,Winks & Kisses: Crackled+,Airiel,Rock,,2017-08-07,4:44,1502064000,4.44
742942407,Deutschland Brennt,Deutschland Brennt,Kennzeichen D (2),Rock,Germany,1995,,788918400,
122052401,Sweet Music Man,You Were A Good Friend / Sweet Music Man,Kenny Rogers,"Folk, World, & Country",US,1982,4:16,410227200,4.16
274198605,Saviour Machine,The Man Who Sold The World,David Bowie,Pop,Greece,1990,4:29,621152000,4.29
667201115,Love Before I Die,Tattoos,Jason Derulo,Pop,Australia,2014-04-14,2:46,1297422600,2.46
42486906,Planet Sex (Legs Mix),Planet House EP,Laurent Garnier,Electronic,Europe,1997,6:00,852076800,6
1210876010,EWU II,More Originals,Tobe Nwigwe,Hip Hop,US,2018,2:01,1514764800,2.01
252285601,La Fiera Del Perdono,Bobby Folk,Bobby Solo,"Folk, World, & Country",Italy,1970,,0,
789915707,The Sting Of The Bee,La Romantica Voz De Tito Rodriguez El Piano Artistico De Jose Melis,José Melis,Latin,US,,2:48,,2.48
506220018,Old Man,Decade,Neil Young,Rock,Europe,,2:21,,2.21
908688001,Dancing In The City,Free Ride,Marshall Hain,Pop,Germany,1978,,252460800,
252067402,Mighty Wind (Dub Or Dub Mix),Mighty Wind,Space 2-000,Electronic,Belgium,1996,,820454400,
48458001,Not At Home Anymore,On A Ghostship To Hollywood,Les Chiens Comiques,Rock,Belgium,1997,,852076800,
1121457110,Walkin' Down The Road,Best Of The Ozark Mountain Daredevils (Nuclear Fishin'),The Ozark Mountain Daredevils,Rock,New Zealand,1981,,247155200,
1278621602,Iyahbhoone (Plan K),Clear Your Screens,Biting Tongues,Rock,UK,2020-07-10,6:25,1594229200,6.25
1261858402,Dean and Graham,Noise: Original Soundtrack,Bryony Marks,Stage & Screen,Australia,2007,2:44,1167609600,2.44
518052861,Wimoweh,Ataypura - 76 Hits And Rarities From The Goddess Of Exotica,Yma Sumac,"Folk, World, & Country",Germany,2012-08-21,2:29,1246271200,2.29
179506500,Alpha Ralpha Boulevard,Flygnivå 450 - Musiken Ur Filmen,Ralph Lundsten,Stage & Screen,Sweden,1980,6:16,215522800,6.16
695057010,The Driver (Part 2),The Driver,Terry Reid,Blues,UK & Europe,1991,4:26,662688000,4.26
522060010,Blue,Het Beste Van Kid Safari,Kid Safari,Pop,Belgium,1998,2:18,882612800,2.18
1270007715,Power Of The Laser Dragon Fire (Symphonic Version),Legends From Beyond The Galactic Terrorvortex,Gloryhammer,Rock,Europe,2019-05-21,,1559260800,
702279409,Je Bent Niet Rijk,Hanny - Truus - Conny - Samantha - Corry - Riwi's - Wilma - Anja - Marijke,Various,Pop,Netherlands,1972,,62072000,
544128906,Slop Bucket,Return Of The Thin Man,Noble Watts,Blues,US,1987,4:20,526457600,4.2
1527957801,This Is The New Shit,The Matrix Reloaded (Music From And Inspired By The Motion Picture),Various,Classical,Turkey,2002-04-29,04:20,1051574400,4.2
